Source,Target,Type
Wikidata,Wikipedia(EN),Directed
DBpedia,dbpedia-pt,Directed
DBpedia,dbpedia-nl,Directed
DBpedia,dbpedia-ja,Directed
DBpedia,dbpedia-it,Directed
DBpedia,dbpedia-de,Directed
DBpedia,dbpedia-fr,Directed
Wikidata,ISNI,Directed
Wikidata,Ark/dataBNF,Directed
Wikidata,idref/sudoc,Directed
Wikidata,GND/dnb,Directed
Wikidata,Viaf,Directed
Wikidata,LOC/LCCN,Directed
Wikidata,Freebase,Directed
Wikidata,BNCCantic,Directed
Wikidata,KBNL,Directed
Wikidata,Agorha,Directed
Wikidata,Odis,Directed
Wikidata,PeopleAustralia,Directed
Wikidata,Fast,Directed
Wikidata,BNE,Directed
Wikidata,Babelio,Directed
Wikidata,NE.se,Directed
Wikidata,Nat.Lib.ofIreland,Directed
ISNI,Wikidata,Directed
ISNI,Ark/dataBNF,Directed
ISNI,idref/sudoc,Directed
ISNI,GND/dnb,Directed
ISNI,Viaf,Directed
ISNI,LOC/LCCN,Directed
ISNI,BNE,Directed
Ark/dataBNF,Wikidata,Directed
Ark/dataBNF,ISNI,Directed
Ark/dataBNF,idref/sudoc,Directed
Ark/dataBNF,Viaf,Directed
Ark/dataBNF,DBpedia,Directed
idref/sudoc,ISNI,Directed
idref/sudoc,Ark/dataBNF,Directed
Viaf,Wikidata,Directed
Viaf,ISNI,Directed
Viaf,Ark/dataBNF,Directed
Viaf,idref/sudoc,Directed
Viaf,GND/dnb,Directed
Viaf,LOC/LCCN,Directed
Viaf,BNE,Directed
Viaf,SBN(italie),Directed
LOC/LCCN,Viaf,Directed
BNCCantic,Viaf,Directed
KBNL,Wikidata,Directed
KBNL,Viaf,Directed
Odis,CPCP,Directed
BNE,ISNI,Directed
BNE,Ark/dataBNF,Directed
BNE,idref/sudoc,Directed
BNE,GND/dnb,Directed
BNE,Viaf,Directed
BNE,LOC/LCCN,Directed
BNE,DBpedia,Directed
BNE,Wikipedia(EN),Directed
DBpedia,Wikidata,Directed
DBpedia,GND/dnb,Directed
DBpedia,Freebase,Directed
DBpedia,Yago,Directed
DBpedia,Wikidata-DBpedia,Directed
Wikipedia(EN),ISNI,Directed
Wikipedia(EN),Ark/dataBNF,Directed
Wikipedia(EN),idref/sudoc,Directed
Wikipedia(EN),GND/dnb,Directed
Wikipedia(EN),Viaf,Directed
Wikipedia(EN),LOC/LCCN,Directed
Wikipedia(EN),BNE,Directed
Wikipedia(EN),WorldCatIdentities,Directed
WorldCatIdentities,Wikidata,Directed
WorldCatIdentities,Viaf,Directed
WorldCatIdentities,LOC/LCCN,Directed
WorldCatIdentities,Wikipedia(EN),Directed
Yago,DBpedia,Directed
Yago,Wikipedia(EN),Directed
Yago,Wikidata-DBpedia,Directed
Wikidata-DBpedia,Wikidata,Directed
Wikidata-DBpedia,ISNI,Directed
Wikidata-DBpedia,Ark/dataBNF,Directed
Wikidata-DBpedia,idref/sudoc,Directed
Wikidata-DBpedia,GND/dnb,Directed
Wikidata-DBpedia,Viaf,Directed
Wikidata-DBpedia,LOC/LCCN,Directed
Wikidata-DBpedia,Freebase,Directed
Wikidata-DBpedia,BNCCantic,Directed
Wikidata-DBpedia,KBNL,Directed
Wikidata-DBpedia,PeopleAustralia,Directed
Wikidata-DBpedia,BNE,Directed
